Fire_Size,Fire_Size_Class,Fire_Cause,Latitude,Longitude,State,Discovery_Month,Discovery_Date,Discovery_Year,Vegetation,Fire_Magnitude,Temp_Pre_30,Temp_Pre_15,Temp_Pre_7,Temp_Present,Wind_Pre_30,Wind_Pre_15,Wind_Pre_7,Wind_Present,Hum_Pre_30,Hum_Pre_15,Hum_Pre_7,Hum_Present,Prec_Pre_30,Prec_Pre_15,Prec_Pre_7,Prec_Present
50,C,Arson,38.3936,-82.8272,KY,Nov,10/8/1999,1999,0,1,13.08074534,11.50915493,11.59559471,10.03984716,2.169239766,2.48030303,2.843718593,2.526602177,65.94352617,57.52367688,60.0617284,62.96105702,97.1,30.8,29.5,43.5
2,B,Debris Burning,33.31781504,-98.5987667,TX,Jul,7/1/2009,2009,16,0.1,29.89647332,28.22990741,28.20575397,29.68958333,2.634941995,2.481203704,2.343849206,2.70125,52.45769962,58.96053898,60.18358531,53.73784159,91.1,88.1,68,11.2
50,C,Arson,37.7697,-83.6672,KY,Feb,1/26/1997,1997,0,1,3.910746269,4.062900188,10.1165,9.103542234,2.726368159,2.758003766,3.5265,3.208174387,71.5250291,70.89035088,61.63131313,65.72979215,80.4,21.2,10.7,292.3
250,D,Lightning,34.825535,-101.027527,TX,Aug,7/9/2011,2011,16,3,29.93486056,29.67258383,29.41859504,27.76411531,5.537924152,5.26950495,5.166666667,5.227072927,37.51097804,39.10693069,39.825,40.60782347,55.4,20.8,16.2,18.2
25,C,Arson,33.0331,-86.7289,AL,Sep,8/21/2000,2000,16,1,25.03404255,23.31638418,22.40606061,18.53781513,1.351608187,1.563841808,1.403030303,1.524229692,69.52664577,70.54268293,61.56849315,65.21503759,8.1,4.8,0.3,36.1
0.52,B,Miscellaneous,32.73962,-93.95191,LA,Mar,2/24/2014,2014,12,0.1,10.38708375,13.48966292,14.18115183,16.18498965,2.964379415,3.350561798,2.640314136,3.629503106,72.7360673,66.83031674,61.04712042,73.93507853,56.2,31,0.3,153.9
2,B,Miscellaneous,30.18590914,-98.07688903,TX,Jul,6/4/2009,2009,12,0.1,29.16080937,30.46490066,30.37804878,30.58980687,3.993274531,3.111845103,2.460913706,3.744369369,60.98208287,58.53986333,58.95939086,59.77262443,90.9,50.9,42.7,32.2
1,B,Miscellaneous,33.145448,-86.70158,AL,Feb,1/29/2010,2010,16,0.1,4.757841141,4.727828054,6.719339623,10.06693795,2.499488753,2.446832579,2.380188679,2.503665988,70.33544304,62.86511628,61.07,72.66975309,136.9,14.7,14.2,142.2
33,C,Missing/Undefined,37.37890002,-83.44139997,KY,Mar,2/28/2006,2006,0,1,7.447342026,4.360433071,4.881782946,15.87438905,2.147891566,1.737992126,1.656589147,1.973313783,62.51706827,64.63385827,69.37209302,63.16422287,66.1,11.9,4.1,117.1
1,B,Debris Burning,34.6242,-92.3533,AR,Jul,6/17/1999,1999,16,0.1,25.75421687,26.68909091,24.86117021,29.59959732,3.08060241,2.792207792,2.891489362,2.789530201,77.82962963,77.76302083,78.14973262,67.12803235,119.5,58.4,58.4,11.6
