Fire_Size,Fire_Cause,Latitude,Longitude,State,Discovery_Date
2.0,Debris Burning,38.5986,-83.3317,KY,10/30/1997
1.0,Miscellaneous,33.772019,-117.24943,CA,8/10/2011
8.0,Missing/Undefined,31.362689,-90.870118,MS,3/13/2008
20.0,Debris Burning,32.42788998,-95.61002999,TX,8/14/2006
40.0,Arson,31.1222,-88.1164,AL,1/15/2002
2.0,Debris Burning,34.445,-79.95222,SC,9/3/2009
5.0,Smoking,34.92,-95.5342,OK,1/28/1999
2.0,Smoking,35.0783,-79.0183,NC,5/26/1993
1.0,Debris Burning,33.27203002,-93.8722,AR,3/15/2006
3.53,Debris Burning,32.50506163,-83.81197748,GA,2/4/2009
2.0,Equipment Use,32.03528001,-95.30611,TX,11/21/2003
3.0,Debris Burning,47.75485979,-95.17575207,MN,3/24/2004
1.0,Miscellaneous,32.7633,-89.4103,MS,5/19/2007
12.0,Debris Burning,36.9533,-83.8522,KY,10/20/1997
1.0,Miscellaneous,33.36512,-92.53029,AR,1/26/2007
2.0,Debris Burning,37.29615,-92.51763,MO,2/7/2000
2.0,Debris Burning,29.61443999,-82.69860997,FL,4/11/2004
4.0,Debris Burning,33.55432999,-81.10319,SC,3/15/2006
5.0,Debris Burning,31.1806,-88.0653,AL,6/3/2000
5.0,Children,28.9819,-82.1944,FL,3/8/2002
5.0,Miscellaneous,32.9994,-80.695,SC,11/23/2000
110.3,Lightning,41.1567,-116.0739,NV,6/18/2007
5.0,Lightning,34.3667,-80.5167,SC,4/14/2001
1.0,Debris Burning,33.4728,-80.9653,SC,6/9/2000
20.0,Missing/Undefined,34.37783001,-95.58500001,OK,2/9/2005
1.5,Debris Burning,31.8244,-84.2772,GA,2/15/1999
5.0,Miscellaneous,34.7897,-95.8178,OK,2/14/2001
2.0,Miscellaneous,31.664194,-94.997063,TX,5/16/2010
10.0,Debris Burning,29.04629,-98.67649,TX,4/4/2013
4.5,Lightning,31.69696873,-82.22509789,GA,5/12/2007
1.0,Debris Burning,34.19406,-92.44496,AR,6/5/2010
2.0,Debris Burning,47.17398,-121.05123,WA,4/5/2008
1.0,Arson,41.586317,-74.494453,NY,7/2/1999
1.0,Debris Burning,35.52111111,-120.4538889,CA,10/29/2005
3.0,Equipment Use,30.18,-82.19,FL,4/5/1997
2.0,Miscellaneous,34.873,-112.5633,AZ,6/25/2000
80.0,Debris Burning,33.78278,-95.79222,TX,2/15/2008
2.0,Lightning,41.27611111,-121.5138889,CA,3/26/2000
4.0,Debris Burning,38.27526607,-82.35788175,WV,2/11/2006
1.0,Equipment Use,37.0671731,-93.95931714,MO,3/1/1996
150.0,Debris Burning,29.8671,-99.2651,TX,9/15/2009
0.54,Powerline,45.57461,-88.02885,WI,3/16/2010
1.0,Arson,37.9778,-83.0569,KY,2/26/1999
1.0,Equipment Use,31.6744,-89.9378,MS,7/17/2004
200.0,Debris Burning,44.8426,-96.8337,SD,4/4/2009
9.0,Lightning,62.35035,-146.233067,AK,5/21/2015
1.0,Equipment Use,30.42,-86.81,FL,8/9/1997
2.5,Railroad,27.64,-81.46,FL,2/21/1992
1.0,Debris Burning,32.3003126,-94.6193968,TX,1/9/2015
1.0,Debris Burning,31.5533,-88.5583,MS,7/6/2006
14.6,Debris Burning,31.9961,-84.7414,GA,2/26/1999
3.0,Campfire,38.2912379,-81.79345105,WV,3/20/2006
140.0,Arson,37.4103,-83.3944,KY,9/28/2001
5.0,Miscellaneous,32.5342,-92.9911,LA,10/7/1999
11.0,Equipment Use,25.56,-80.39,FL,1/6/2000
3.0,Debris Burning,39.68389,-78.01417,MD,2/13/2008
1.8,Miscellaneous,31.362,-110.9216,AZ,6/4/2010
5.0,Arson,33.7289,-86.5953,AL,1/23/2000
19.0,Lightning,34.5269,-80.9475,SC,3/19/2002
18.0,Arson,35.0167,-79.2,NC,10/11/2000
335.0,Arson,30.9611,-88.3692,AL,1/11/2000
2.0,Railroad,29.08,-81.9,FL,2/24/2000
1.0,Smoking,35.1917,-79.1617,NC,6/5/1993
2.0,Debris Burning,35.8083,-81.2083,NC,1/26/1995
2.0,Missing/Undefined,31.636126,-91.090845,MS,2/5/2009
2.0,Equipment Use,33.46681,-80.91616,SC,11/3/2007
20.0,Equipment Use,30.04,-82.85,FL,2/26/1999
2.2,Debris Burning,35.18615,-81.08189,NC,3/6/2009
1.5,Arson,37.1367,-83.2225,KY,3/8/2000
100.0,Debris Burning,35.64,-84.09,TN,4/22/1997
0.8,Debris Burning,31.4122,-81.9167,GA,5/4/1998
30.0,Debris Burning,37.612148,-82.992073,KY,3/20/2014
5.0,Missing/Undefined,35.11936,-82.86617,NC,4/5/2008
2.0,Debris Burning,34.4722,-92.7411,AR,2/21/1997
2.0,Lightning,34.47984,-79.48415,SC,3/21/2008
13.0,Arson,37.53623059,-81.29947665,WV,9/20/2007
15.0,Arson,30.4,-88.43333333,MS,1/12/1997
2.0,Arson,31.03416667,-89.03361111,MS,10/23/1999
1.0,Children,34.23487998,-92.11815002,AR,7/19/2006
10.0,Miscellaneous,28.9099412,-96.8315725,TX,5/18/2013
5.0,Arson,32.7328,-89.7833,MS,4/10/2007
15.0,Lightning,33.4667,-81.6167,SC,5/26/2000
2096.0,Miscellaneous,48.0072,-120.2425,WA,6/4/2013
1.0,Equipment Use,35.072973,-101.690273,TX,8/18/2015
35.0,Miscellaneous,32.05001,-96.48163,TX,6/28/2008
5.0,Equipment Use,29.095552,-98.432779,TX,3/22/2013
2.0,Lightning,26.80889,-81.89639,FL,5/4/2008
3.0,Debris Burning,32.7875,-80.9953,SC,1/3/2002
8.0,Debris Burning,28.31278,-82.34612,FL,1/11/2009
2.0,Debris Burning,31.32690998,-94.79701999,TX,2/25/2006
4.0,Smoking,35.3483,-90.8019,AR,8/15/1999
5.0,Debris Burning,31.974153,-100.379333,TX,8/7/2010
30.0,Lightning,32.23721999,-94.07610998,TX,7/23/2005
2.0,Missing/Undefined,21.2987022,-158.0775299,HI,9/18/2009
8.0,Railroad,36.65833,-79.36945,VA,1/3/2009
5.0,Missing/Undefined,35.89756,-79.36508,NC,1/19/2007
3.0,Missing/Undefined,31.27125,-93.57824,LA,6/5/2009
